dialect_code,variant_name
00690,Tibetan: Domme
00690,Tibetian
00690,Zang
00690,ल्हासा
00690,བོད་ཡིག
00690,藏(拉萨)
00690,藏(拉薩)
00691,Muslim Sindhi
00691,Sindhi Musalmani
00691,Sindhi: Musalmani
00691,Sindhi: Muslim
00691,Sindhi: Sindhi Musalmani
00693,Waidjewa
00693,Wajewa
00693,Wejewa: Lauli
00693,Wewewa
00693,Weyewa: Lauli
00701,Kiembu
00701,Kiembu: Mbeere
00701,Kikuyu: Mberre
00701,Kimbeere
00701,Mbere
00701,Mberre
00705,Alor: Kolana
00705,Wersing: Kolana
00707,Mori Atas: Poso-Mori
00708,Bungku
00708,Kolonodale
00708,Mokole
00708,Mori: Bawah
00708,Mori Bawah: Tinompo
00708,Mori: Tinompo
00709,Sangihe
00709,Sangir & Sangir: Siau
00709,Sangir Siau
00709,Siau
00710,Kolaka
00710,Tolaki: Konawe
00713,Kamba: South Kitui
00713,Kikamba: Kitui
00713,South Kitui
00717,Iliun
00717,Ili'uun
00721,Gbobo
00721,Krahn: Gborbo
00721,"Krahn, Western"
00729,Chrao
00729,Jero
00729,Jro
00729,Ro
00730,Koho: Lac
00730,Koho: Lat
00730,Lach
00730,Lat
00735,Chil
00735,Koho: Chil
00735,Koho: Cil
00735,Koho: Kil
00736,Koho: Tring
00736,Trinh
00739,Saura: Assam & Saura: Tea Garden
00739,Savara
00739,Sora
00739,सौरा: आसाम & सौरा: चाय बाग़
00741,Berkua
00741,Land Dayak: Bakua
00741,Land Dayak I
00742,Banana'
00742,Banana'k
00742,Banane
00742,Bernanak
00742,Land Dajak: Bernanak
00742,Malayic Dayak: Banana
00742,Malayic Dayak: Banana'
00744,Bakati: Lara
00744,"Bakati', Rara"
00744,Berkati
00744,Land Dajak: Berkati
00744,Lara
00744,Lara'
00744,Luru
00744,Rara Bakati'
00748,Kalenjin
00748,Pokoot
00748,Pokoot: West Pokot
00748,Pokot
00748,Pokot: West
00748,Suk
00748,Sukku
00748,West Pokot
00749,"Chin, Falam: Langkai"
00749,Hallam: Langkai
00749,"चिन, फलम: लंगकाए"
00750,"Chin, Falam: Chorai"
00750,"Chin, Falam: Chorei"
00750,Chorei
00750,Hallam: Chorai
00750,"चिन, फलम: कोराए"
00753,"Chin, Falam: Langwang"
00753,Hallam: Langwang
00753,Langrawng
00753,Langrawng Hallam
00753,हलम: लंगवांग
00756,Garhwali: Tehri
00756,Garhwali: Terhi
